date_,close_meta,high_meta,low_meta,open_meta,volume_meta
2020-07-20,244.08096313476562,244.7075306505498,234.3543249662479,238.75020720151468,20872200
2020-07-21,240.4309844970703,245.56283459216627,238.77009802812378,244.87659688257915,19364200
2020-07-22,238.56121826171875,240.5801409770099,236.8207665984999,238.9490897396433,15427900
2020-07-23,231.33091735839844,241.09733057137603,230.4855489726427,238.32255976583426,21771800
2020-07-24,229.4512176513672,232.2160483323792,225.66199284630693,228.9340506017036,18325800
2020-07-27,232.22598266601562,233.6680681742309,229.57055247972104,230.19711994436994,13163100
2020-07-28,228.8644256591797,233.6780294213985,228.57601462022583,233.349828130188,14170100
2020-07-29,232.01712036132812,232.42488696837475,229.05338403619285,229.8788572252625,13588300
2020-07-30,233.22055053710938,233.6084220610452,227.75055894668677,228.96390374987794,20615300
2020-07-31,252.28594970703125,254.45406330387704,247.64143150745372,254.42422820087077,53005100
2020-08-03,250.5852813720703,254.00649955393584,248.9641699999736,251.27150389823336,23124900
2020-08-04,248.46688842773438,251.42068483539606,246.07997411544883,250.1874450152718,17183500
2020-08-05,247.7607879638672,250.89361056221708,246.4181627150343,248.82495729178822,13050100
2020-08-06,263.83258056640625,265.1453856791842,247.31320728382224,247.68118363716113,45241600
2020-08-07,266.9753723144531,277.36836841894285,261.9926975628809,262.63914504067037,72766400
2020-08-10,261.56500244140625,272.3657328406271,258.2730651049248,266.5775113667188,30248800
2020-08-11,254.73252868652344,264.4691217641351,253.7379848071249,258.77037440879593,28238300
2020-08-12,258.4720458984375,262.4601465634631,256.70172850188493,257.5570520952234,21415700
2020-08-13,259.874267578125,263.7132222038238,258.15372632958474,260.1229035135618,17374000
2020-08-14,259.81463623046875,261.2169467581407,257.26860629898624,260.87880547751405,14792700
2020-08-17,259.735107421875,262.6590691282288,257.98470031845955,261.06779270249416,13351100
2020-08-18,260.9086608886719,263.70332701029844,257.84547882210705,259.52626055589184,18690400
2020-08-19,261.1572570800781,266.4482374670504,259.92403246020814,259.96382271115937,23291500
2020-08-20,267.5422668457031,268.15887921351106,260.03344211724726,260.07323237193305,20299700
2020-08-21,265.55316162109375,269.0141547751234,264.9663843949918,267.22398799552667,15538600
2020-08-24,269.9092712402344,275.73728365906857,267.30354084655573,269.59100992253883,23685600
2020-08-25,279.287841796875,281.54544565698416,268.78546001994255,270.92372346116633,42127200
2020-08-26,302.2518310546875,303.007694107932,282.45045896866435,282.45045896866435,69015200
2020-08-27,291.6201477050781,299.5864536229766,290.4266829495857,298.52228442362065,30301300
2020-08-28,292.0577697753906,295.6082988368587,289.3923993669517,293.3904549796101,17157400
2020-08-31,291.60028076171875,295.2601949935816,289.9592590619496,292.3461886794062,17345100
2020-09-01,293.82806396484375,299.84504265943167,291.11294808315256,293.102035962497,17295900
2020-09-02,300.8495178222656,301.94352213910605,291.45106619945614,297.2492739031753,24341400
2020-09-03,289.5316162109375,295.9762716293363,282.0824920891478,294.37504016280684,32294100
2020-09-04,281.1874084472656,287.42318778882435,269.6606482607697,285.6827359596533,30333700
2020-09-08,269.6805419921875,277.77611398868805,267.9500452259606,269.7998824104,24864000
2020-09-09,272.2265625,276.9606012629098,269.8694982700699,274.26536539185327,22918800
2020-09-10,266.6272277832031,277.6368342762263,265.5730138462213,274.00675569314234,24814700
2020-09-11,265.15533447265625,269.90928344921343,261.2070243287369,268.58652306630114,18913900
2020-09-14,264.69781494140625,275.130599594454,264.2502884612508,269.4716431871986,24093800
2020-09-15,270.9336242675781,273.0221418812901,267.8306222436132,269.1931726887736,18478500
2020-09-16,262.0821838378906,270.9535283144671,260.36164240593354,265.831633568667,29183400
2020-09-17,253.42967224121094,260.07321790378904,248.82492933955396,256.8707854788468,31281400
2020-09-18,251.15216064453125,257.7857815687826,248.68569611211348,256.99012826731234,28130800
2020-09-21,246.79603576660156,248.5862176262349,242.79798065154333,246.189363446824,24709400
2020-09-22,253.3600311279297,253.92692837388537,246.8656613772408,251.92788563870897,30293100
2020-09-23,247.6613311767578,256.5823761765556,246.796067647101,253.86727552444327,19641300
2020-09-24,248.1685333251953,250.86375391899932,244.27986310971525,245.15506658086082,20006800
2020-09-25,253.42967224121094,254.35459074146863,245.26446052003635,248.0392311963443,18351300
2020-09-28,255.41873168945312,258.1835620845003,253.4296442008993,257.98464119521833,18826300
2020-09-29,260.36163330078125,261.8932089200155,255.49829948675043,256.403337998699,20200200
2020-09-30,260.4710388183594,264.6282249958597,258.68087195611713,260.55061932618884,20142500
2020-10-01,265.17523193359375,266.8659382701957,263.3551996890793,263.90221701794707,20009800
2020-10-02,258.521728515625,263.7032934300981,257.76586548395323,259.7847882675934,16367600
2020-10-05,263.2060546875,263.42485557419246,259.4168446028827,260.7694401800014,12822300
2020-10-06,257.2487487792969,264.2403917248236,256.83102695440925,260.35172113192414,18696900
2020-10-07,256.711669921875,258.760427954206,253.4296871499855,257.7957191447242,23133400
2020-10-08,262.3209228515625,263.17621608294036,257.7360594439978,258.3327918862306,16312800
2020-10-09,263.00714111328125,263.3054921367474,260.73958228172717,263.07673611804296,14107800
2020-10-12,274.2454833984375,278.65130563894945,266.4084725252953,268.72577683401994,31019300
2020-10-13,274.63336181640625,277.577203205315,271.8983661441686,276.065477081793,18063300
2020-10-14,270.3369140625,277.2290955942732,270.01865274922034,276.10525619811455,15577800
2020-10-15,265.2647399902344,267.57208903349226,262.2313933526653,266.1399434446474,15416100
2020-10-16,264.47906494140625,269.8893864493537,263.8524973976771,265.92116580716606,16622700
2020-10-19,259.9737243652344,267.0847059484774,258.46202882542883,264.08119481703767,13587000
2020-10-20,266.10015869140625,268.22849716781263,261.44570060700113,261.62471122153886,18763200
2020-10-21,277.209228515625,281.50563504012007,274.86208916003835,278.03468658726183,28998600
2020-10-22,276.6025390625,280.90893105970304,273.5393572664263,278.34299085258226,16720000
2020-10-23,283.23614501953125,283.6836715310871,275.3096295034617,277.27880685644544,17535200
2020-10-26,275.59808349609375,283.67380657060306,272.7636572717967,281.6150931299676,21322900
2020-10-27,281.744384765625,282.95772968769205,274.80245655890366,277.23910155561146,16287200
2020-10-28,266.2095642089844,277.2688869035369,265.8017975906153,277.2688869035369,23121800
2020-10-29,279.2977600097656,282.0526661353704,272.2862374059796,275.04111318051207,32368100
2020-10-30,261.6744384765625,275.19031717472177,257.68633796174066,273.0023083914471,47247800
2020-11-02,259.9339599609375,268.9942700041426,255.93590470424766,263.15630259796336,27165700
2020-11-03,263.8525085449219,268.57659249989894,259.4566411034183,261.7242001877643,17961900
2020-11-04,285.81201171875,287.3634976708775,277.0997980252116,279.466817205041,35364400
2020-11-05,293.07220458984375,295.7574854015776,287.3734871676503,290.3073736163951,23823600
2020-11-06,291.80914306640625,292.99265279115843,286.48832688092676,292.34620529596697,13891000
2020-11-09,277.2489929199219,290.98364179261284,277.01031209553867,288.2884363137147,25117700
2020-11-10,270.943603515625,272.5050448157979,262.5596052239804,271.60996132274886,29067700
2020-11-11,274.9714660644531,276.88097306187024,270.9932910769232,271.9778796739956,14957000
2020-11-12,273.5791015625,278.2236345718425,272.93265414756024,275.6676496616713,12899500
2020-11-13,275.4389343261719,276.24451242515056,271.60993439275114,276.20472217242803,10391200
2020-11-16,277.43798828125,277.88554522577647,273.13162607630403,273.54931756352585,12970400
2020-11-17,273.49957275390625,276.1649431241236,271.7989111816274,276.1649431241236,15040300
2020-11-18,270.4861145019531,275.87655596989504,270.3568189345729,273.0221893890794,12152900
2020-11-19,271.4508056640625,271.9779126998734,267.7212661603807,269.54126808370654,12963700
2020-11-20,268.2284851074219,271.5104676306615,267.94005889625475,271.072865914087,18114700
2020-11-23,266.96539306640625,269.47166294328906,263.0866781986937,269.4119927415603,20990800
2020-11-24,275.40911865234375,276.30420211978674,266.40847786859007,267.0250902494714,16930400
2020-11-25,274.08636474609375,278.6513178545799,271.16240309212395,276.62247004041234,12467000
2020-11-27,276.2942199707031,277.607025115247,273.3205436207279,275.87652855721046,7808400
2020-11-30,275.4588317871094,276.18485977786446,269.5313584996007,274.5239580706578,16693300
2020-12-01,284.9865417480469,287.72153746674627,277.4379572065651,277.63687812653535,20738900
2020-12-02,285.95123291015625,290.18799936548555,279.2977322166754,283.8030145814429,17361600
2020-12-03,280.3122253417969,285.0860242799681,279.5364822555672,284.68821276029945,12921700
2020-12-04,278.1739196777344,281.9133838167704,277.77607786733006,278.77062169120313,10880300
