date_,close_tsla,high_tsla,low_tsla,open_tsla,volume_tsla
11/2/2020,$133.50 ,$135.66 ,$130.77 ,$131.33 ,"$87,063,300.00 "
11/3/2020,$141.30 ,$142.59 ,$135.56 ,$136.58 ,"$103,055,100.00 "
11/4/2020,$140.33 ,$145.13 ,$139.03 ,$143.54 ,"$96,429,300.00 "
11/5/2020,$146.03 ,$146.67 ,$141.33 ,$142.77 ,"$85,243,500.00 "
11/6/2020,$143.32 ,$145.52 ,$141.43 ,$145.37 ,"$65,118,000.00 "
11/9/2020,$140.42 ,$150.83 ,$140.33 ,$146.50 ,"$104,499,000.00 "
11/10/2020,$136.79 ,$140.03 ,$132.01 ,$140.03 ,"$90,852,600.00 "
11/11/2020,$139.04 ,$139.57 ,$136.86 ,$138.82 ,"$52,073,100.00 "
11/12/2020,$137.25 ,$141.00 ,$136.51 ,$138.35 ,"$59,565,300.00 "
11/13/2020,$136.17 ,$137.51 ,$133.89 ,$136.95 ,"$59,313,300.00 "
11/16/2020,$136.03 ,$137.48 ,$134.70 ,$136.31 ,"$80,515,800.00 "
11/17/2020,$147.20 ,$154.00 ,$144.34 ,$153.39 ,"$183,564,900.00 "
11/18/2020,$162.21 ,$165.33 ,$147.83 ,$149.45 ,"$234,132,000.00 "
11/19/2020,$166.42 ,$169.54 ,$162.52 ,$164.00 ,"$187,425,900.00 "
11/20/2020,$163.20 ,$167.50 ,$163.02 ,$166.00 ,"$98,735,700.00 "
11/23/2020,$173.95 ,$175.33 ,$167.26 ,$167.83 ,"$150,780,900.00 "
11/24/2020,$185.13 ,$186.66 ,$175.40 ,$180.13 ,"$160,945,500.00 "
11/25/2020,$191.33 ,$191.33 ,$181.79 ,$183.35 ,"$146,790,600.00 "
11/27/2020,$195.25 ,$199.59 ,$192.82 ,$193.72 ,"$112,683,300.00 "
11/30/2020,$189.20 ,$202.60 ,$184.84 ,$200.74 ,"$189,009,300.00 "
12/1/2020,$194.92 ,$199.28 ,$190.68 ,$199.20 ,"$120,310,500.00 "
12/2/2020,$189.61 ,$190.51 ,$180.40 ,$185.48 ,"$143,327,100.00 "
12/3/2020,$197.79 ,$199.66 ,$194.14 ,$196.67 ,"$127,656,000.00 "
12/4/2020,$199.68 ,$199.68 ,$195.17 ,$197.00 ,"$88,203,900.00 "
12/7/2020,$213.92 ,$216.26 ,$201.02 ,$201.64 ,"$168,929,100.00 "
12/8/2020,$216.63 ,$217.09 ,$206.17 ,$208.50 ,"$192,795,000.00 "
12/9/2020,$201.49 ,$218.11 ,$196.00 ,$217.90 ,"$213,873,600.00 "
12/10/2020,$209.02 ,$209.25 ,$188.78 ,$191.46 ,"$201,249,600.00 "
12/11/2020,$203.33 ,$208.00 ,$198.93 ,$205.00 ,"$139,425,000.00 "
12/14/2020,$213.28 ,$214.25 ,$203.40 ,$206.33 ,"$156,121,800.00 "
12/15/2020,$211.08 ,$215.63 ,$207.93 ,$214.43 ,"$135,214,500.00 "
12/16/2020,$207.59 ,$210.83 ,$201.67 ,$209.41 ,"$126,287,400.00 "
12/17/2020,$218.63 ,$219.61 ,$206.50 ,$209.40 ,"$168,810,300.00 "
12/18/2020,$231.67 ,$231.67 ,$209.51 ,$222.97 ,"$666,378,600.00 "
12/21/2020,$216.62 ,$222.83 ,$215.36 ,$222.08 ,"$174,135,900.00 "
12/22/2020,$213.45 ,$216.63 ,$204.74 ,$216.00 ,"$155,148,000.00 "
12/23/2020,$215.33 ,$217.17 ,$207.52 ,$210.73 ,"$99,519,000.00 "
12/24/2020,$220.59 ,$222.03 ,$213.67 ,$214.33 ,"$68,596,800.00 "
12/28/2020,$221.23 ,$227.13 ,$220.27 ,$224.84 ,"$96,835,800.00 "
12/29/2020,$222.00 ,$223.30 ,$218.33 ,$220.33 ,"$68,732,400.00 "
12/30/2020,$231.59 ,$232.20 ,$222.79 ,$224.00 ,"$128,538,000.00 "
12/31/2020,$235.22 ,$239.57 ,$230.37 ,$233.33 ,"$148,949,700.00 "
1/4/2021,$243.26 ,$248.16 ,$239.06 ,$239.82 ,"$145,914,600.00 "
1/5/2021,$245.04 ,$246.95 ,$239.73 ,$241.22 ,"$96,735,600.00 "
1/6/2021,$251.99 ,$258.00 ,$249.70 ,$252.83 ,"$134,100,000.00 "
1/7/2021,$272.01 ,$272.33 ,$258.40 ,$259.21 ,"$154,496,700.00 "
1/8/2021,$293.34 ,$294.83 ,$279.46 ,$285.33 ,"$225,166,500.00 "
1/11/2021,$270.40 ,$284.81 ,$267.87 ,$283.13 ,"$177,904,800.00 "
1/12/2021,$283.15 ,$289.33 ,$275.78 ,$277.00 ,"$138,812,100.00 "
1/13/2021,$284.80 ,$286.82 ,$277.33 ,$284.25 ,"$99,937,500.00 "
1/14/2021,$281.67 ,$287.67 ,$279.58 ,$281.13 ,"$93,798,900.00 "
1/15/2021,$275.39 ,$286.63 ,$273.03 ,$284.00 ,"$116,332,800.00 "
1/19/2021,$281.52 ,$283.33 ,$277.67 ,$279.27 ,"$76,101,000.00 "
1/20/2021,$283.48 ,$286.50 ,$279.09 ,$286.25 ,"$76,997,700.00 "
1/21/2021,$281.66 ,$285.24 ,$280.47 ,$285.00 ,"$61,563,300.00 "
1/22/2021,$282.21 ,$282.67 ,$276.21 ,$278.10 ,"$60,199,500.00 "
1/25/2021,$293.60 ,$300.13 ,$279.61 ,$285.00 ,"$123,520,200.00 "
1/26/2021,$294.36 ,$298.63 ,$290.53 ,$297.13 ,"$69,394,800.00 "
1/27/2021,$288.05 ,$297.17 ,$286.22 ,$290.12 ,"$82,002,000.00 "
1/28/2021,$278.48 ,$282.67 ,$267.00 ,$273.33 ,"$79,134,000.00 "
1/29/2021,$264.51 ,$280.80 ,$260.03 ,$276.67 ,"$104,972,400.00 "
2/1/2021,$279.94 ,$280.67 ,$265.19 ,$271.43 ,"$76,174,200.00 "
2/2/2021,$290.93 ,$293.50 ,$280.73 ,$281.56 ,"$73,038,600.00 "
2/3/2021,$284.90 ,$292.69 ,$284.35 ,$292.34 ,"$55,030,500.00 "
2/4/2021,$283.33 ,$285.50 ,$277.81 ,$285.00 ,"$47,438,100.00 "
2/5/2021,$284.08 ,$288.26 ,$279.66 ,$281.67 ,"$55,699,800.00 "
2/8/2021,$287.81 ,$292.59 ,$284.92 ,$289.89 ,"$60,485,100.00 "
2/9/2021,$283.15 ,$286.60 ,$280.58 ,$285.04 ,"$45,473,100.00 "
2/10/2021,$268.27 ,$281.61 ,$266.67 ,$281.21 ,"$108,648,300.00 "
2/11/2021,$270.55 ,$276.63 ,$267.24 ,$270.81 ,"$64,868,400.00 "
2/12/2021,$272.04 ,$272.44 ,$261.78 ,$267.09 ,"$71,304,900.00 "
2/16/2021,$265.41 ,$273.67 ,$264.15 ,$272.67 ,"$59,406,900.00 "
2/17/2021,$266.05 ,$266.61 ,$254.00 ,$259.70 ,"$77,989,500.00 "
2/18/2021,$262.46 ,$264.90 ,$258.76 ,$260.30 ,"$53,871,300.00 "
2/19/2021,$260.43 ,$265.60 ,$259.12 ,$265.00 ,"$56,874,900.00 "
2/22/2021,$238.17 ,$256.17 ,$236.73 ,$254.21 ,"$111,809,100.00 "
2/23/2021,$232.95 ,$237.87 ,$206.33 ,$220.71 ,"$199,820,700.00 "
2/24/2021,$247.34 ,$248.33 ,$231.39 ,$237.28 ,"$110,301,000.00 "
2/25/2021,$227.41 ,$245.74 ,$223.53 ,$242.05 ,"$117,071,700.00 "
2/26/2021,$225.17 ,$235.57 ,$219.84 ,$233.33 ,"$123,267,600.00 "
3/1/2021,$239.48 ,$239.67 ,$228.35 ,$230.04 ,"$81,408,600.00 "
3/2/2021,$228.81 ,$240.37 ,$228.33 ,$239.43 ,"$71,196,600.00 "
3/3/2021,$217.73 ,$233.57 ,$217.24 ,$229.33 ,"$90,624,000.00 "
3/4/2021,$207.15 ,$222.82 ,$200.00 ,$218.60 ,"$197,758,500.00 "
3/5/2021,$199.32 ,$209.28 ,$179.83 ,$208.69 ,"$268,189,500.00 "
3/8/2021,$187.67 ,$206.71 ,$186.26 ,$200.18 ,"$155,361,000.00 "
3/9/2021,$224.53 ,$226.03 ,$198.40 ,$202.73 ,"$202,569,900.00 "
3/10/2021,$222.69 ,$239.28 ,$218.35 ,$233.43 ,"$181,817,100.00 "
3/11/2021,$233.20 ,$234.17 ,$225.73 ,$233.13 ,"$108,761,700.00 "
3/12/2021,$231.24 ,$231.63 ,$222.05 ,$223.33 ,"$100,751,400.00 "
3/15/2021,$235.98 ,$237.73 ,$228.01 ,$231.36 ,"$88,006,800.00 "
3/16/2021,$225.63 ,$235.97 ,$223.67 ,$234.45 ,"$96,587,100.00 "
3/17/2021,$233.94 ,$234.58 ,$217.00 ,$218.96 ,"$121,117,500.00 "
3/18/2021,$217.72 ,$229.74 ,$217.33 ,$228.10 ,"$99,674,400.00 "
3/19/2021,$218.29 ,$219.08 ,$208.21 ,$215.53 ,"$128,682,000.00 "
3/22/2021,$223.33 ,$233.21 ,$222.92 ,$228.20 ,"$118,536,600.00 "
3/23/2021,$220.72 ,$225.93 ,$219.17 ,$225.26 ,"$91,475,700.00 "
3/24/2021,$210.09 ,$222.67 ,$210.04 ,$222.64 ,"$101,385,600.00 "
3/25/2021,$213.46 ,$215.17 ,$203.17 ,$204.33 ,"$117,674,700.00 "
3/26/2021,$206.24 ,$214.61 ,$199.96 ,$213.96 ,"$101,558,400.00 "
3/29/2021,$203.76 ,$205.49 ,$198.67 ,$205.21 ,"$85,911,000.00 "
3/30/2021,$211.87 ,$212.55 ,$197.00 ,$200.58 ,"$118,297,200.00 "
3/31/2021,$222.64 ,$224.00 ,$213.70 ,$215.54 ,"$100,011,900.00 "
4/1/2021,$220.58 ,$230.81 ,$219.81 ,$229.46 ,"$105,895,200.00 "
4/5/2021,$230.35 ,$236.05 ,$228.23 ,$235.90 ,"$125,528,400.00 "
4/6/2021,$230.54 ,$232.18 ,$227.12 ,$230.10 ,"$84,815,400.00 "
4/7/2021,$223.66 ,$230.46 ,$222.61 ,$229.00 ,"$78,928,200.00 "
4/8/2021,$227.93 ,$229.85 ,$223.88 ,$225.79 ,"$71,772,900.00 "
4/9/2021,$225.67 ,$226.99 ,$223.14 ,$225.92 ,"$64,311,300.00 "
4/12/2021,$233.99 ,$234.93 ,$227.36 ,$228.57 ,"$87,407,100.00 "
4/13/2021,$254.11 ,$254.33 ,$236.89 ,$237.57 ,"$133,958,400.00 "
4/14/2021,$244.08 ,$260.26 ,$242.68 ,$256.90 ,"$147,052,200.00 "
4/15/2021,$246.28 ,$247.90 ,$240.44 ,$247.70 ,"$83,546,700.00 "
4/16/2021,$246.59 ,$249.80 ,$241.53 ,$242.88 ,"$83,938,500.00 "
4/19/2021,$238.21 ,$241.80 ,$230.60 ,$239.87 ,"$119,058,600.00 "
4/20/2021,$239.66 ,$245.75 ,$236.90 ,$239.14 ,"$106,827,000.00 "
4/21/2021,$248.04 ,$248.28 ,$232.67 ,$234.92 ,"$93,646,500.00 "
4/22/2021,$239.90 ,$251.26 ,$239.35 ,$247.17 ,"$106,770,900.00 "
4/23/2021,$243.13 ,$245.79 ,$238.49 ,$239.93 ,"$85,110,000.00 "
4/26/2021,$246.07 ,$249.77 ,$244.20 ,$247.00 ,"$93,115,500.00 "
4/27/2021,$234.91 ,$241.33 ,$234.45 ,$239.32 ,"$88,311,000.00 "
4/28/2021,$231.47 ,$236.17 ,$231.20 ,$232.14 ,"$66,813,000.00 "
4/29/2021,$225.67 ,$234.08 ,$222.83 ,$233.17 ,"$86,536,200.00 "
4/30/2021,$236.48 ,$238.49 ,$222.05 ,$222.53 ,"$122,276,100.00 "
5/3/2021,$228.30 ,$235.33 ,$226.83 ,$234.60 ,"$81,129,300.00 "
5/4/2021,$224.53 ,$227.82 ,$219.23 ,$226.31 ,"$89,217,900.00 "
5/5/2021,$223.65 ,$228.43 ,$222.45 ,$227.02 ,"$65,705,700.00 "
5/6/2021,$221.18 ,$227.01 ,$216.67 ,$226.92 ,"$83,353,800.00 "
5/7/2021,$224.12 ,$230.00 ,$220.07 ,$221.93 ,"$70,407,600.00 "
5/10/2021,$209.68 ,$221.68 ,$209.20 ,$221.63 ,"$94,177,200.00 "
5/11/2021,$205.73 ,$209.03 ,$198.53 ,$199.75 ,"$139,511,700.00 "
5/12/2021,$196.63 ,$206.80 ,$195.59 ,$200.83 ,"$101,470,800.00 "
5/13/2021,$190.56 ,$202.15 ,$186.55 ,$200.51 ,"$132,554,700.00 "
5/14/2021,$196.58 ,$197.62 ,$190.15 ,$194.47 ,"$100,112,700.00 "
5/17/2021,$192.28 ,$196.58 ,$187.07 ,$191.85 ,"$97,171,200.00 "
5/18/2021,$192.62 ,$198.75 ,$187.79 ,$189.33 ,"$110,491,800.00 "
5/19/2021,$187.82 ,$188.74 ,$182.33 ,$184.18 ,"$118,735,200.00 "
5/20/2021,$195.59 ,$196.28 ,$190.36 ,$191.67 ,"$92,463,300.00 "
5/21/2021,$193.63 ,$198.89 ,$193.33 ,$198.70 ,"$78,091,800.00 "
5/24/2021,$202.15 ,$204.83 ,$191.22 ,$193.87 ,"$103,674,300.00 "
5/25/2021,$201.56 ,$204.66 ,$198.57 ,$202.44 ,"$84,017,700.00 "
5/26/2021,$206.38 ,$208.72 ,$200.50 ,$202.52 ,"$85,917,900.00 "
5/27/2021,$210.28 ,$210.38 ,$205.40 ,$206.75 ,"$79,111,800.00 "
5/28/2021,$208.41 ,$211.86 ,$207.46 ,$209.50 ,"$68,211,000.00 "
6/1/2021,$207.97 ,$211.27 ,$206.85 ,$209.27 ,"$54,254,700.00 "
6/2/2021,$201.71 ,$207.79 ,$199.71 ,$206.71 ,"$69,908,400.00 "
6/3/2021,$190.95 ,$201.52 ,$190.41 ,$200.60 ,"$90,335,700.00 "
6/4/2021,$199.68 ,$200.20 ,$192.40 ,$193.24 ,"$72,110,700.00 "
6/7/2021,$201.71 ,$203.33 ,$194.29 ,$197.28 ,"$67,631,100.00 "
6/8/2021,$201.20 ,$207.70 ,$198.50 ,$207.67 ,"$78,160,200.00 "
6/9/2021,$199.59 ,$203.93 ,$199.21 ,$200.72 ,"$49,753,800.00 "
6/10/2021,$203.37 ,$205.53 ,$200.17 ,$201.29 ,"$71,758,800.00 "
6/11/2021,$203.30 ,$204.19 ,$200.51 ,$203.41 ,"$48,615,900.00 "
6/14/2021,$205.90 ,$208.50 ,$203.06 ,$204.08 ,"$61,272,000.00 "
6/15/2021,$199.79 ,$205.60 ,$199.41 ,$205.56 ,"$53,292,300.00 "
6/16/2021,$201.62 ,$202.83 ,$197.83 ,$199.18 ,"$66,432,300.00 "
6/17/2021,$205.53 ,$207.16 ,$200.45 ,$200.63 ,"$68,104,200.00 "
6/18/2021,$207.77 ,$209.45 ,$203.93 ,$204.46 ,"$73,682,700.00 "
6/21/2021,$206.94 ,$210.46 ,$202.96 ,$208.16 ,"$74,438,100.00 "
6/22/2021,$207.90 ,$209.52 ,$205.17 ,$206.08 ,"$57,476,700.00 "
6/23/2021,$218.86 ,$219.07 ,$210.01 ,$210.67 ,"$93,297,600.00 "
6/24/2021,$226.61 ,$232.54 ,$222.54 ,$225.00 ,"$137,947,200.00 "
6/25/2021,$223.96 ,$231.27 ,$222.90 ,$229.86 ,"$97,490,100.00 "
6/28/2021,$229.57 ,$231.57 ,$223.44 ,$223.88 ,"$64,884,600.00 "
6/29/2021,$226.92 ,$229.17 ,$225.30 ,$228.22 ,"$52,143,900.00 "
6/30/2021,$226.57 ,$230.94 ,$226.05 ,$226.59 ,"$56,774,700.00 "
7/1/2021,$225.97 ,$229.33 ,$224.27 ,$227.97 ,"$55,903,500.00 "
7/2/2021,$226.30 ,$233.33 ,$224.42 ,$226.33 ,"$81,163,500.00 "
7/6/2021,$219.86 ,$228.00 ,$217.13 ,$227.24 ,"$69,853,500.00 "
7/7/2021,$214.88 ,$221.90 ,$212.77 ,$221.42 ,"$56,376,000.00 "
7/8/2021,$217.60 ,$218.14 ,$206.82 ,$209.46 ,"$68,319,900.00 "
7/9/2021,$218.98 ,$219.64 ,$214.90 ,$217.73 ,"$54,421,500.00 "
7/12/2021,$228.57 ,$229.08 ,$220.72 ,$220.73 ,"$77,781,000.00 "
7/13/2021,$222.85 ,$231.09 ,$222.10 ,$228.77 ,"$62,898,300.00 "
7/14/2021,$217.79 ,$226.20 ,$217.61 ,$223.58 ,"$64,923,600.00 "
7/15/2021,$216.87 ,$222.05 ,$212.63 ,$219.46 ,"$60,628,800.00 "
7/16/2021,$214.74 ,$218.90 ,$214.07 ,$218.23 ,"$49,113,000.00 "
7/19/2021,$215.41 ,$215.73 ,$207.10 ,$209.96 ,"$63,891,300.00 "
7/20/2021,$220.17 ,$220.80 ,$213.50 ,$217.33 ,"$46,461,300.00 "
7/21/2021,$218.43 ,$221.62 ,$216.76 ,$219.87 ,"$41,859,900.00 "
7/22/2021,$216.42 ,$220.72 ,$214.87 ,$218.81 ,"$45,317,100.00 "
7/23/2021,$214.46 ,$216.27 ,$212.43 ,$215.45 ,"$43,814,700.00 "
7/26/2021,$219.21 ,$222.73 ,$215.70 ,$216.99 ,"$76,009,800.00 "
7/27/2021,$214.93 ,$222.17 ,$209.08 ,$221.13 ,"$98,439,900.00 "
7/28/2021,$215.66 ,$218.32 ,$213.13 ,$215.67 ,"$48,019,800.00 "
7/29/2021,$225.78 ,$227.90 ,$216.27 ,$216.60 ,"$91,183,800.00 "
7/30/2021,$229.07 ,$232.51 ,$223.00 ,$223.92 ,"$88,969,200.00 "
8/2/2021,$236.56 ,$242.31 ,$232.80 ,$233.33 ,"$100,847,400.00 "
8/3/2021,$236.58 ,$240.88 ,$233.67 ,$239.67 ,"$64,860,900.00 "
8/4/2021,$236.97 ,$241.63 ,$236.31 ,$237.00 ,"$51,007,800.00 "
8/5/2021,$238.21 ,$240.32 ,$237.14 ,$238.67 ,"$38,758,800.00 "
8/6/2021,$233.03 ,$238.78 ,$232.54 ,$237.30 ,"$46,869,000.00 "
8/9/2021,$237.92 ,$239.68 ,$235.04 ,$236.72 ,"$44,145,900.00 "
8/10/2021,$236.66 ,$238.86 ,$233.96 ,$238.00 ,"$40,296,900.00 "
8/11/2021,$235.94 ,$238.39 ,$234.74 ,$237.57 ,"$29,401,800.00 "
8/12/2021,$240.75 ,$240.93 ,$233.13 ,$235.45 ,"$52,377,300.00 "
8/13/2021,$239.06 ,$243.30 ,$238.11 ,$241.24 ,"$50,194,500.00 "
8/16/2021,$228.72 ,$236.50 ,$225.47 ,$235.02 ,"$68,032,200.00 "
8/17/2021,$221.90 ,$224.86 ,$216.28 ,$224.22 ,"$71,163,900.00 "
8/18/2021,$229.66 ,$231.92 ,$223.12 ,$223.25 ,"$61,048,200.00 "
8/19/2021,$224.49 ,$228.85 ,$222.53 ,$226.07 ,"$42,940,500.00 "
8/20/2021,$226.75 ,$230.71 ,$224.57 ,$227.62 ,"$44,525,700.00 "
8/23/2021,$235.43 ,$237.38 ,$226.92 ,$228.48 ,"$60,794,700.00 "
8/24/2021,$236.16 ,$238.41 ,$234.21 ,$236.89 ,"$39,249,300.00 "
8/25/2021,$237.07 ,$238.99 ,$234.67 ,$235.68 ,"$37,936,800.00 "
8/26/2021,$233.72 ,$238.47 ,$232.54 ,$236.10 ,"$39,642,900.00 "
8/27/2021,$237.31 ,$238.33 ,$234.03 ,$235.00 ,"$41,501,400.00 "
8/30/2021,$243.64 ,$243.67 ,$237.58 ,$238.24 ,"$55,812,600.00 "
8/31/2021,$245.24 ,$246.80 ,$242.15 ,$244.33 ,"$62,566,200.00 "
9/1/2021,$244.70 ,$247.33 ,$243.76 ,$244.69 ,"$39,612,900.00 "
9/2/2021,$244.13 ,$246.99 ,$243.51 ,$244.83 ,"$38,331,900.00 "
9/3/2021,$244.52 ,$244.67 ,$241.40 ,$244.08 ,"$45,738,300.00 "
9/7/2021,$250.97 ,$253.40 ,$246.42 ,$246.67 ,"$60,119,400.00 "
9/8/2021,$251.29 ,$254.82 ,$246.92 ,$253.86 ,"$56,379,000.00 "
9/9/2021,$251.62 ,$254.03 ,$250.54 ,$251.14 ,"$42,233,100.00 "
9/10/2021,$245.42 ,$254.20 ,$244.84 ,$253.20 ,"$45,552,600.00 "
9/13/2021,$247.67 ,$248.26 ,$236.28 ,$246.74 ,"$68,857,500.00 "
9/14/2021,$248.16 ,$251.49 ,$245.47 ,$247.52 ,"$55,574,700.00 "
9/15/2021,$251.94 ,$252.29 ,$246.12 ,$248.33 ,"$46,073,100.00 "
9/16/2021,$252.33 ,$252.97 ,$249.20 ,$250.94 ,"$41,770,200.00 "
9/17/2021,$253.16 ,$253.68 ,$250.00 ,$252.38 ,"$84,612,600.00 "
9/20/2021,$243.39 ,$247.33 ,$239.54 ,$244.85 ,"$74,273,100.00 "
